doc0	AP890321-0001
doc1152	AP890826-0014
doc1153	AP890826-0015
doc1154	AP890826-0016
doc1155	AP890826-0017
doc1156	AP890826-0018
doc1157	AP890826-0019
doc1158	AP890826-0020
doc1159	AP890826-0021
doc1160	AP890826-0022
doc1161	AP890826-0023
doc1162	AP890826-0024
doc1163	AP890826-0025
doc1164	AP890826-0026
doc1165	AP890826-0027
doc1166	AP890826-0028
doc1167	AP890826-0029
doc1168	AP890826-0030
doc1169	AP890826-0031
doc1170	AP890826-0032
doc1171	AP890826-0033
doc1172	AP890826-0034
doc1173	AP890826-0035
doc1174	AP890826-0036
doc1175	AP890826-0037
doc1176	AP890826-0038
doc1177	AP890826-0039
doc1178	AP890826-0040
doc1179	AP890826-0041
doc1180	AP890826-0042
doc1181	AP890826-0043
doc1182	AP890826-0044
doc1183	AP890826-0045
doc1184	AP890826-0046
doc1185	AP890826-0047
doc1186	AP890826-0048
doc1187	AP890826-0049
doc1188	AP890826-0050
doc1189	AP890826-0051
doc1190	AP890826-0052
doc1191	AP890826-0053
doc1192	AP890826-0054
doc1193	AP890826-0055
doc1194	AP890826-0056
doc1195	AP890826-0057
doc1196	AP890826-0058
doc1197	AP890826-0059
doc1198	AP890826-0060
doc1199	AP890826-0061
doc1200	AP890826-0062
doc1201	AP890826-0063
doc1202	AP890826-0064
doc1203	AP890826-0065
doc1204	AP890826-0066
doc1205	AP890826-0067
doc1206	AP890826-0068
doc1207	AP890826-0069
doc1208	AP890826-0070
doc1209	AP890826-0071
doc1210	AP890826-0072
doc1211	AP890826-0073
doc1212	AP890826-0074
doc1213	AP890826-0075
doc1214	AP890826-0076
doc1215	AP890826-0077
doc1216	AP890826-0078
doc1217	AP890826-0079
doc1218	AP890826-0080
doc1219	AP890826-0081
doc1220	AP890826-0082
doc1221	AP890826-0083
doc1222	AP890826-0084
doc1223	AP890826-0085
doc1224	AP890826-0086
doc1225	AP890826-0087
doc1226	AP890826-0088
doc1227	AP890826-0089
doc1228	AP890826-0090
doc1229	AP890826-0091
doc1230	AP890826-0092
doc1231	AP890826-0093
doc1232	AP890826-0094
doc1233	AP890826-0095
doc1234	AP890826-0096
doc1235	AP890826-0097
doc1236	AP890826-0098
doc1237	AP890826-0099
doc1238	AP890826-0100
doc1239	AP890826-0101
doc1240	AP890826-0102
doc1241	AP890826-0103
doc1242	AP890826-0104
doc1243	AP890826-0105
doc1244	AP890826-0106
doc1245	AP890826-0107
doc1246	AP890826-0108
doc1247	AP890826-0109
doc1248	AP890826-0110
doc1249	AP890826-0111
doc1250	AP890826-0112
doc1251	AP890826-0113
doc1252	AP890826-0114
doc1253	AP890826-0115
doc1254	AP890826-0116
doc1255	AP890826-0117
doc1256	AP890826-0118
doc1257	AP890826-0119
doc1258	AP890826-0120
doc1259	AP890826-0121
doc1260	AP890826-0122
doc1261	AP890826-0123
doc1262	AP890826-0124
doc1263	AP890826-0125
doc1264	AP890826-0126
doc1265	AP890826-0127
doc1266	AP890826-0128
doc1267	AP890826-0129
doc1268	AP890826-0130
doc1269	AP890826-0131
doc1270	AP890826-0132
doc1271	AP890826-0133
doc1272	AP890826-0134
doc1273	AP890826-0135
doc1274	AP890826-0136
doc1275	AP890826-0137
doc1276	AP890826-0138
doc1277	AP890826-0139
doc1278	AP890826-0140
doc1279	AP890826-0141
doc1280	AP890826-0142
doc1281	AP890826-0143
doc1282	AP890826-0144
doc1283	AP890826-0145
doc1284	AP890826-0146
doc1285	AP890826-0147
doc1286	AP890826-0148
doc1287	AP890826-0149
doc1288	AP890826-0150
doc1289	AP890827-0001
doc1290	AP890827-0002
doc1291	AP890827-0003
doc1292	AP890827-0004
doc1293	AP890827-0005
doc1294	AP890827-0006
doc1295	AP890827-0007
doc1296	AP890827-0008
doc1297	AP890827-0009
doc1298	AP890827-0010
doc1299	AP890827-0011
doc1300	AP890827-0012
doc1301	AP890827-0013
doc1302	AP890827-0014
doc1303	AP890827-0015
doc1304	AP890827-0016
doc1305	AP890827-0017
doc1306	AP890827-0018
doc1307	AP890827-0019
doc1308	AP890827-0020
doc1309	AP890827-0021
doc1310	AP890827-0022
doc1311	AP890827-0023
doc1312	AP890827-0024
doc1313	AP890827-0025
doc1314	AP890827-0026
doc1315	AP890827-0027
doc1316	AP890827-0028
doc1317	AP890827-0029
doc1318	AP890827-0030
doc1319	AP890827-0031
doc1320	AP890827-0032
doc1321	AP890827-0033
doc1322	AP890827-0034
doc1323	AP890827-0035
doc1324	AP890827-0036
doc1325	AP890827-0037
doc1326	AP890827-0038
doc1327	AP890827-0039
doc1328	AP890827-0040
doc1329	AP890827-0041
doc1330	AP890827-0042
doc1331	AP890827-0043
doc1332	AP890827-0044
doc1333	AP890827-0045
doc1334	AP890827-0046
doc1335	AP890827-0047
doc1336	AP890827-0048
doc1337	AP890827-0049
doc1338	AP890827-0050
doc1339	AP890827-0051
doc1340	AP890827-0052
doc1341	AP890827-0053
doc1342	AP890827-0054
doc1343	AP890827-0055
doc1344	AP890827-0056
doc1345	AP890827-0057
doc1346	AP890827-0058
doc1347	AP890827-0059
doc1348	AP890827-0060
doc1349	AP890827-0061
doc1350	AP890827-0062
doc1351	AP890827-0063
doc1352	AP890827-0064
doc1353	AP890827-0065
doc1354	AP890827-0066
doc1355	AP890827-0067
doc1356	AP890827-0068
doc1357	AP890827-0069
doc1358	AP890827-0070
doc1359	AP890827-0071
doc1360	AP890827-0072
doc1361	AP890827-0073
doc1362	AP890917-0001
doc1363	AP890917-0002
doc1364	AP890917-0003
doc1365	AP890917-0004
doc1366	AP890917-0005
doc1367	AP890917-0006
doc1368	AP890917-0007
doc1369	AP890917-0008
doc1370	AP890917-0009
doc1371	AP890917-0010
doc1372	AP890917-0011
doc1373	AP890917-0012
doc1374	AP890917-0013
doc1375	AP890917-0014
doc1376	AP890917-0015
doc1377	AP890917-0016
doc1378	AP890917-0017
doc1379	AP890917-0018
doc1380	AP890917-0019
doc1381	AP890917-0020
doc1382	AP890917-0021
doc1383	AP890917-0022
doc1384	AP890917-0023
doc1385	AP890917-0024
doc1386	AP890917-0025
doc1387	AP890917-0026
doc1388	AP890917-0027
doc1389	AP890917-0028
doc1390	AP890917-0029
doc1391	AP890917-0030
doc1392	AP890917-0031
doc1393	AP890917-0032
doc1394	AP890917-0033
doc1395	AP890917-0034
doc1396	AP890917-0035
doc1397	AP890917-0036
doc1398	AP890917-0037
doc1399	AP890917-0038
doc1400	AP890917-0039
doc1401	AP890917-0040
doc1402	AP890917-0041
doc1403	AP890917-0042
doc1404	AP890917-0043
doc1405	AP890917-0044
doc1406	AP890917-0045
doc1407	AP890917-0046
doc1408	AP890917-0047
doc1409	AP890917-0048
doc1410	AP890917-0049
doc1411	AP890917-0050
doc1412	AP890917-0051
doc1413	AP890917-0052
doc1414	AP890917-0053
doc1415	AP890917-0054
doc1416	AP890917-0055
doc1417	AP890917-0056
doc1418	AP890917-0057
doc1419	AP890917-0058
doc1420	AP890917-0059
doc1421	AP890917-0060
doc1422	AP890917-0061
doc1423	AP890917-0062
doc1424	AP890917-0063
doc1425	AP890917-0064
doc1426	AP890917-0065
doc1427	AP890917-0066
doc1428	AP890917-0067
doc1429	AP890917-0068
doc1430	AP890917-0069
doc1431	AP890917-0070
doc1432	AP890917-0071
doc1433	AP890917-0072
doc1434	AP890917-0073
doc1435	AP890917-0074
doc1436	AP890917-0075
doc1437	AP890917-0076
doc1438	AP890917-0077
doc1439	AP890917-0078
doc1440	AP890917-0079
doc1441	AP890917-0080
doc1442	AP890917-0081
doc1443	AP890917-0082
doc1444	AP890917-0083
doc1445	AP890917-0084
doc1446	AP890917-0085
doc1447	AP890917-0086
doc1448	AP890917-0087
doc1449	AP891007-0001
doc1450	AP891007-0002
doc1451	AP891007-0003
doc1452	AP891007-0004
doc1453	AP891007-0005
doc1454	AP891007-0006
doc1455	AP891007-0007
doc1456	AP891007-0008
doc1457	AP891007-0009
doc1458	AP891007-0010
doc1459	AP891007-0011
doc1460	AP891007-0012
doc1461	AP891007-0013
doc1462	AP891007-0014
doc1463	AP891007-0015
doc1464	AP891007-0016
doc1465	AP891007-0017
doc1466	AP891007-0018
doc1467	AP891007-0019
doc1468	AP891007-0020
doc1469	AP891007-0021
doc1470	AP891007-0022
doc1471	AP891007-0023
doc1472	AP891007-0024
doc1473	AP891007-0025
doc1474	AP891007-0026
doc1475	AP891007-0027
doc1476	AP891007-0028
doc1477	AP891007-0029
doc1478	AP891007-0030
doc1479	AP891007-0031
doc1480	AP891007-0032
doc1481	AP891007-0033
doc1482	AP891007-0034
doc1483	AP891007-0035
doc1484	AP891007-0036
doc1485	AP891007-0037
doc1486	AP891007-0038
doc1487	AP891007-0039
doc1488	AP891007-0040
doc1489	AP891007-0041
doc1490	AP891007-0042
doc1491	AP891007-0043
doc1492	AP891007-0044
doc1493	AP891007-0045
doc1494	AP891007-0046
doc1495	AP891007-0047
doc1496	AP891007-0048
doc1497	AP891007-0049
doc1498	AP891007-0050
doc1499	AP891007-0051
doc1500	AP891007-0052
doc1501	AP891007-0053
doc1502	AP891007-0054
doc1503	AP891007-0055
doc1504	AP891007-0056
doc1505	AP891007-0057
doc1506	AP891007-0058
doc1507	AP891007-0059
doc1508	AP891007-0060
doc1509	AP891007-0061
doc1510	AP891007-0062
doc1511	AP891007-0063
doc1512	AP891007-0064
doc1513	AP891007-0065
doc1514	AP891007-0066
doc1515	AP891007-0067
doc1516	AP891007-0068
doc1517	AP891007-0069
doc1518	AP891007-0070
doc1519	AP891007-0071
doc1520	AP891007-0072
doc1521	AP891007-0073
doc1522	AP891007-0074
doc1523	AP891007-0075
doc1524	AP891007-0076
doc1525	AP891007-0077
doc1526	AP891007-0078
doc1527	AP891007-0079
doc1528	AP891007-0080
doc1529	AP891007-0081
doc1530	AP891007-0082
doc1531	AP891007-0083
doc1532	AP891007-0084
doc1533	AP891007-0085
doc1534	AP891007-0086
doc1535	AP891007-0087
doc1536	AP891007-0088
doc1537	AP891007-0089
doc1538	AP891007-0090
doc1539	AP891007-0091
doc1540	AP891007-0092
doc1541	AP891007-0093
doc1542	AP891007-0094
doc1543	AP891007-0095
doc1544	AP891007-0096
doc1545	AP891007-0097
doc1546	AP891007-0098
doc1547	AP891007-0099
doc1548	AP891007-0100
doc1549	AP891007-0101
doc1550	AP891007-0102
doc1551	AP891007-0103
doc1552	AP891007-0104
doc1553	AP891007-0105
doc1554	AP891007-0106
doc1555	AP891007-0107
doc1556	AP891007-0108
doc1557	AP891007-0109
doc1558	AP891007-0110
doc1559	AP891007-0111
doc1560	AP891007-0112
doc1561	AP891007-0113
doc1562	AP891007-0114
doc1563	AP891007-0115
doc1564	AP891007-0116
doc1565	AP891007-0117
doc1566	AP891007-0118
doc1567	AP891007-0119
doc1568	AP891007-0120
doc1569	AP891007-0121
doc1570	AP891007-0122
doc1571	AP891007-0123
doc1572	AP891007-0124
doc1573	AP891007-0125
doc1574	AP891007-0126
doc1575	AP891007-0127
doc1576	AP891007-0128
doc1577	AP891007-0129
doc1578	AP891007-0130
doc1579	AP891007-0131
doc1580	AP891007-0132
doc1581	AP891007-0133
doc1582	AP891007-0134
doc1583	AP891007-0135
doc1584	AP891007-0136
doc1585	AP891007-0137
doc1586	AP891007-0138
doc1587	AP891007-0139
doc1588	AP891007-0140
doc1589	AP891007-0141
doc1590	AP891007-0142
doc1591	AP891007-0143
doc1592	AP891007-0144
doc1593	AP891007-0145
doc1594	AP891023-0001
doc1595	AP891023-0002
doc1596	AP891023-0003
doc1597	AP891023-0004
doc1598	AP891023-0005
doc1599	AP891023-0006
doc1600	AP891023-0007
doc1601	AP891023-0008
doc1602	AP891023-0009
doc1603	AP891023-0010
doc1604	AP891023-0011
doc1605	AP891023-0012
doc1606	AP891023-0013
doc1607	AP891023-0014
doc1608	AP891023-0015
doc1609	AP891023-0016
doc1610	AP891023-0017
doc1611	AP891023-0018
doc1612	AP891023-0019
doc1613	AP891023-0020
doc1614	AP891023-0021
doc1615	AP891023-0022
doc1616	AP891023-0023
doc1617	AP891023-0024
doc1618	AP891023-0025
doc1619	AP891023-0026
doc1620	AP891023-0027
doc1621	AP891023-0028
doc1622	AP891023-0029
doc1623	AP891023-0030
doc1624	AP891023-0031
doc1625	AP891023-0032
doc1626	AP891023-0033
doc1627	AP891023-0034
doc1628	AP891023-0035
doc1629	AP891023-0036
doc1630	AP891023-0037
doc1631	AP891023-0038
doc1632	AP891023-0039
doc1633	AP891023-0040
doc1634	AP891023-0041
doc1635	AP891023-0042
doc1636	AP891023-0043
doc1637	AP891023-0044
doc1638	AP891023-0045
doc1639	AP891023-0046
doc1640	AP891023-0047
doc1641	AP891023-0048
doc1642	AP891023-0049
doc1643	AP891023-0050
doc1644	AP891023-0051
doc1645	AP891023-0052
doc1646	AP891023-0053
doc1647	AP891023-0054
doc1648	AP891023-0055
doc1649	AP891023-0056
doc1650	AP891023-0057
doc1651	AP891023-0058
doc1652	AP891023-0059
doc1653	AP891023-0060
doc1654	AP891023-0061
doc1655	AP891023-0062
doc1656	AP891023-0063
doc1657	AP891023-0064
doc1658	AP891023-0065
doc1659	AP891023-0066
doc1660	AP891023-0067
doc1661	AP891023-0068
doc1662	AP891023-0069
doc1663	AP891023-0070
doc1664	AP891023-0071
doc1665	AP891023-0072
doc1666	AP891023-0073
doc1667	AP891023-0074
doc1668	AP891023-0075
doc1669	AP891023-0076
doc1670	AP891023-0077
doc1671	AP891023-0078
doc1672	AP891023-0079
doc1673	AP891023-0080
doc1674	AP891023-0081
doc1675	AP891023-0082
doc1676	AP891023-0083
doc1677	AP891023-0084
doc1678	AP891023-0085
doc1679	AP891023-0086
doc1680	AP891023-0087
doc1681	AP891023-0088
doc1682	AP891023-0089
doc1683	AP891023-0090
doc1684	AP891023-0091
doc1685	AP891023-0092
doc1686	AP891023-0093
doc1687	AP891023-0094
doc1688	AP891023-0095
doc1689	AP891023-0096
doc1690	AP891023-0097
doc1691	AP891023-0098
doc1692	AP891023-0099
doc1693	AP891023-0100
doc1694	AP891023-0101
doc1695	AP891023-0102
doc1696	AP891023-0103
doc1697	AP891023-0104
doc1698	AP891023-0105
doc1699	AP891023-0106
doc1700	AP891023-0107
doc1701	AP891023-0108
doc1702	AP891023-0109
doc1703	AP891023-0110
doc1704	AP891023-0111
doc1705	AP891023-0112
doc1706	AP891023-0113
doc1707	AP891023-0114
doc1708	AP891023-0115
doc1709	AP891023-0116
doc1710	AP891023-0117
doc1711	AP891023-0118
doc1712	AP891023-0119
doc1713	AP891023-0120
doc1714	AP891023-0121
doc1715	AP891023-0122
doc1716	AP891023-0123
doc1717	AP891023-0124
doc1718	AP891023-0125
doc1719	AP891023-0126
doc1720	AP891023-0127
doc1721	AP891023-0128
doc1722	AP891023-0129
doc1723	AP891023-0130
doc1724	AP891023-0131
doc1725	AP891023-0132
doc1726	AP891023-0133
doc1727	AP891023-0134
doc1728	AP891023-0135
doc1729	AP891023-0136
doc1730	AP891023-0137
doc1731	AP891023-0138
doc1732	AP891023-0139
doc1733	AP891023-0140
doc1734	AP891023-0141
doc1735	AP891023-0142
doc1736	AP891023-0143
doc1737	AP891023-0144
doc1738	AP891023-0145
doc1739	AP891023-0146
doc1740	AP891023-0147
doc1741	AP891023-0148
doc1742	AP891023-0149
doc1743	AP891023-0150
doc1744	AP891023-0151
doc1745	AP891023-0152
doc1746	AP891023-0153
doc1747	AP891023-0154
doc1748	AP891023-0155
doc1749	AP891023-0156
doc1750	AP891023-0157
doc1751	AP891023-0158
doc1752	AP891023-0159
doc1753	AP891023-0160
doc1754	AP891023-0161
doc1755	AP891023-0162
doc1756	AP891023-0163
doc1757	AP891023-0164
doc1758	AP891023-0165
doc1759	AP891023-0166
doc1760	AP891023-0167
doc1761	AP891023-0168
doc1762	AP891023-0169
doc1763	AP891023-0170
doc1764	AP891023-0171
doc1765	AP891023-0172
doc1766	AP891023-0173
doc1767	AP891023-0174
doc1768	AP891023-0175
doc1769	AP891023-0176
doc1770	AP891023-0177
doc1771	AP891023-0178
doc1772	AP891023-0179
doc1773	AP891023-0180
doc1774	AP891023-0181
doc1775	AP891023-0182
doc1776	AP891023-0183
doc1777	AP891023-0184
doc1778	AP891023-0185
doc1779	AP891023-0186
doc1780	AP891023-0187
doc1781	AP891023-0188
doc1782	AP891023-0189
doc1783	AP891023-0190
doc1784	AP891023-0191
doc1785	AP891023-0192
doc1786	AP891023-0193
doc1787	AP891023-0194
doc1788	AP891023-0195
doc1789	AP891023-0196
doc1790	AP891023-0197
doc1791	AP891023-0198
doc1792	AP891023-0199
doc1793	AP891023-0200
doc1794	AP891023-0201
doc1795	AP891023-0202
doc1796	AP891023-0203
doc1797	AP891023-0204
doc1798	AP891023-0205
doc1799	AP891023-0206
doc1800	AP891023-0207
doc1801	AP891023-0208
doc1802	AP891023-0209
doc1803	AP891023-0210
doc1804	AP891023-0211
doc1805	AP891023-0212
doc1806	AP891023-0213
doc1807	AP891023-0214
doc1808	AP891023-0215
doc1809	AP891023-0216
doc1810	AP891023-0217
doc1811	AP891023-0218
doc1812	AP891023-0219
doc1813	AP891023-0220
doc1814	AP891023-0221
doc1815	AP891023-0222
doc1816	AP891023-0223
doc1817	AP891023-0224
doc1818	AP891023-0225
doc1819	AP891023-0226
doc1820	AP891023-0227
doc1821	AP891023-0228
doc1822	AP891023-0229
doc1823	AP891023-0230
doc1824	AP891023-0231
doc1825	AP891023-0232
doc1826	AP891023-0233
doc1827	AP891023-0234
doc1828	AP891023-0235
doc1829	AP891023-0236
doc1830	AP891023-0237
doc1831	AP891023-0238
doc1832	AP891023-0239
doc1833	AP891023-0240
doc1834	AP891023-0241
doc1835	AP891023-0242
doc1836	AP891023-0243
doc1837	AP891023-0244
doc1838	AP891023-0245
doc1839	AP891023-0246
doc1840	AP891023-0247
doc1841	AP891023-0248
doc1842	AP891023-0249
doc1843	AP891023-0250
doc1844	AP891023-0251
doc1845	AP891023-0252
doc1846	AP891023-0253
doc1847	AP891023-0254
doc1848	AP891023-0255
doc1849	AP891023-0256
doc1850	AP891023-0257
doc1851	AP891023-0258
doc1852	AP891023-0259
doc1853	AP891023-0260
doc1854	AP891023-0261
doc1855	AP891023-0262
doc1856	AP891023-0263
doc1857	AP891023-0264
doc1858	AP891023-0265
doc1859	AP891023-0266
doc1860	AP891023-0267
doc1861	AP891023-0268
doc1862	AP891023-0269
doc1863	AP891023-0270
doc1864	AP891023-0271
doc1865	AP891023-0272
doc1866	AP891023-0273
doc1867	AP891028-0001
doc1868	AP891028-0002
doc1869	AP891028-0003
doc1870	AP891028-0004
doc1871	AP891028-0005
doc1872	AP891028-0006
doc1873	AP891028-0007
doc1874	AP891028-0008
doc1875	AP891028-0009
doc1876	AP891028-0010
doc1877	AP891028-0011
doc1878	AP891028-0012
doc1879	AP891028-0013
doc1880	AP891028-0014
doc1881	AP891028-0015
doc1882	AP891028-0016
doc1883	AP891028-0017
doc1884	AP891028-0018
doc1885	AP891028-0019
doc1886	AP891028-0020
doc1887	AP891028-0021
doc1888	AP891028-0022
doc1889	AP891028-0023
doc1890	AP891028-0024
doc1891	AP891028-0025
doc1892	AP891028-0026
doc1893	AP891028-0027
doc1894	AP891028-0028
doc1895	AP891028-0029
doc1896	AP891028-0030
doc1897	AP891028-0031
doc1898	AP891028-0032
doc1899	AP891028-0033
doc1900	AP891028-0034
doc1901	AP891028-0035
doc1902	AP891028-0036
doc1903	AP891028-0037
doc1904	AP891028-0038
doc1905	AP891028-0039
doc1906	AP891028-0040
doc1907	AP891028-0041
doc1908	AP891028-0042
doc1909	AP891028-0043
doc1910	AP891028-0044
doc1911	AP891028-0045
doc1912	AP891028-0046
doc1913	AP891028-0047
doc1914	AP891028-0048
doc1915	AP891028-0049
doc1916	AP891028-0050
doc1917	AP891028-0051
doc1918	AP891028-0052
doc1919	AP891028-0053
doc1920	AP891028-0054
doc1921	AP891028-0055
doc1922	AP891028-0056
doc1923	AP891028-0057
doc1924	AP891028-0058
doc1925	AP891028-0059
doc1926	AP891028-0060
doc1927	AP891028-0061
doc1928	AP891028-0062
doc1929	AP891028-0063
doc1930	AP891028-0064
doc1931	AP891028-0065
doc1932	AP891028-0066
doc1933	AP891028-0067
doc1934	AP891028-0068
doc1935	AP891028-0069
doc1936	AP891028-0070
doc1937	AP891028-0071
doc1938	AP891028-0072
doc1939	AP891028-0073
doc1940	AP891028-0074
doc1941	AP891028-0075
doc1942	AP891028-0076
doc1943	AP891028-0077
doc1944	AP891028-0078
doc1945	AP891028-0079
doc1946	AP891028-0080
doc1947	AP891028-0081
doc1948	AP891028-0082
doc1949	AP891028-0083
doc1950	AP891028-0084
doc1951	AP891028-0085
doc1952	AP891028-0086
doc1953	AP891028-0087
doc1954	AP891028-0088
doc1955	AP891028-0089
doc1956	AP891028-0090
doc1957	AP891028-0091
doc1958	AP891028-0092
doc1959	AP891028-0093
doc1960	AP891028-0094
doc1961	AP891028-0095
doc1962	AP891028-0096
doc1963	AP891028-0097
doc1964	AP891028-0098
doc1965	AP891028-0099
doc1966	AP891028-0100
doc1967	AP891028-0101
doc1968	AP891028-0102
doc1969	AP891028-0103
doc1970	AP891028-0104
doc1971	AP891028-0105
doc1972	AP891028-0106
doc1973	AP891028-0107
doc1974	AP891028-0108
doc1975	AP891028-0109
doc1976	AP891028-0110
doc1977	AP891028-0111
doc1978	AP891028-0112
doc1979	AP891028-0113
doc1980	AP891028-0114
doc1981	AP891028-0115
doc1982	AP891028-0116
doc1983	AP891028-0117
doc1984	AP891028-0118
doc1985	AP891028-0119
doc1986	AP891028-0120
doc1987	AP891028-0121
doc1988	AP891028-0122
doc1989	AP891028-0123
doc1990	AP891028-0124
doc1991	AP891028-0125
doc1992	AP891028-0126
doc1993	AP891028-0127
doc1994	AP891028-0128
doc1995	AP891028-0129
doc1996	AP891028-0130
doc1997	AP891028-0131
doc1998	AP891028-0132
doc1999	AP891028-0133
doc2000	AP891028-0134
doc2001	AP891028-0135
doc2002	AP891028-0136
doc2003	AP891028-0137
doc2004	AP891028-0138
doc2005	AP891028-0139
doc2006	AP891028-0140
doc2007	AP891028-0141
doc2008	AP891028-0142
doc2009	AP891028-0143
doc2010	AP891028-0144
doc2011	AP891028-0145
doc2012	AP891028-0146
doc2013	AP891028-0147
doc2014	AP891028-0148
doc2015	AP891028-0149
doc2016	AP891028-0150
doc2017	AP891028-0151
doc2018	AP891028-0152
doc2019	AP891028-0153
doc2020	AP891028-0154
doc2021	AP891028-0155
doc2022	AP891028-0156
doc2023	AP891028-0157
doc2024	AP891028-0158
doc2025	AP891028-0159
doc2026	AP891028-0160
doc2027	AP891028-0161
doc2028	AP891028-0162
doc2029	AP891028-0163
doc2030	AP891028-0164
doc2031	AP891028-0165
doc2032	AP891028-0166
doc2033	AP891028-0167
doc2034	AP891028-0168
doc2035	AP891028-0169
doc2036	AP891028-0170
doc2037	AP891028-0171
doc2038	AP891028-0172
doc2039	AP891028-0173
doc2040	AP891028-0174
doc2041	AP891028-0175
doc2042	AP891201-0001
doc2043	AP891201-0002
doc2044	AP891201-0003
doc2045	AP891201-0004
doc2046	AP891201-0005
doc2047	AP891201-0006
doc2048	AP891201-0007
doc2049	AP891201-0008
doc2050	AP891201-0009
doc2051	AP891201-0010
doc2052	AP891201-0011
doc2053	AP891201-0012
doc2054	AP891201-0013
doc2055	AP891201-0014
doc2056	AP891201-0015
doc2057	AP891201-0016
doc2058	AP891201-0017
doc2059	AP891201-0018
doc2060	AP891201-0019
doc2061	AP891201-0020
doc2062	AP891201-0021
doc2063	AP891201-0022
doc2064	AP891201-0023
doc2065	AP891201-0024
doc2066	AP891201-0025
doc2067	AP891201-0026
doc2068	AP891201-0027
doc2069	AP891201-0028
doc2070	AP891201-0029
doc2071	AP891201-0030
doc2072	AP891201-0031
doc2073	AP891201-0032
doc2074	AP891201-0033
doc2075	AP891201-0034
doc2076	AP891201-0035
doc2077	AP891201-0036
doc2078	AP891201-0037
doc2079	AP891201-0038
doc2080	AP891201-0039
doc2081	AP891201-0040
doc2082	AP891201-0041
doc2083	AP891201-0042
doc2084	AP891201-0043
doc2085	AP891201-0044
doc2086	AP891201-0045
doc2087	AP891201-0046
doc2088	AP891201-0047
doc2089	AP891201-0048
doc2090	AP891201-0049
doc2091	AP891201-0050
doc2092	AP891201-0051
doc2093	AP891201-0052
doc2094	AP891201-0053
doc2095	AP891201-0054
doc2096	AP891201-0055
doc2097	AP891201-0056
doc2098	AP891201-0057
doc2099	AP891201-0058
doc2100	AP891201-0059
doc2101	AP891201-0060
doc2102	AP891201-0061
doc2103	AP891201-0062
doc2104	AP891201-0063
doc2105	AP891201-0064
doc2106	AP891201-0065
doc2107	AP891201-0066
doc2108	AP891201-0067
doc2109	AP891201-0068
doc2110	AP891201-0069
doc2111	AP891201-0070
doc2112	AP891201-0071
doc2113	AP891201-0072
doc2114	AP891201-0073
doc2115	AP891201-0074
doc2116	AP891201-0075
doc2117	AP891201-0076
doc2118	AP891201-0077
doc2119	AP891201-0078
doc2120	AP891201-0079
doc2121	AP891201-0080
doc2122	AP891201-0081
doc2123	AP891201-0082
doc2124	AP891201-0083
doc2125	AP891201-0084
doc2126	AP891201-0085
doc2127	AP891201-0086
doc2128	AP891201-0087
doc2129	AP891201-0088
doc2130	AP891201-0089
doc2131	AP891201-0090
doc2132	AP891201-0091
doc2133	AP891201-0092
doc2134	AP891201-0093
doc2135	AP891201-0094
doc2136	AP891201-0095
doc2137	AP891201-0096
doc2138	AP891201-0097
doc2139	AP891201-0098
doc2140	AP891201-0099
doc2141	AP891201-0100
doc2142	AP891201-0101
doc2143	AP891201-0102
doc2144	AP891201-0103
doc2145	AP891201-0104
doc2146	AP891201-0105
doc2147	AP891201-0106
doc2148	AP891201-0107
doc2149	AP891201-0108
doc2150	AP891201-0109
doc2151	AP891201-0110
doc2152	AP891201-0111
doc2153	AP891201-0112
doc2154	AP891201-0113
doc2155	AP891201-0114
doc2156	AP891201-0115
doc2157	AP891201-0116
doc2158	AP891201-0117
doc2159	AP891201-0118
doc2160	AP891201-0119
doc2161	AP891201-0120
doc2162	AP891201-0121
doc2163	AP891201-0122
doc2164	AP891201-0123
doc2165	AP891201-0124
doc2166	AP891201-0125
doc2167	AP891201-0126
doc2168	AP891201-0127
doc2169	AP891201-0128
doc2170	AP891201-0129
doc2171	AP891201-0130
doc2172	AP891201-0131
doc2173	AP891201-0132
doc2174	AP891201-0133
doc2175	AP891201-0134
doc2176	AP891201-0135
doc2177	AP891201-0136
doc2178	AP891201-0137
doc2179	AP891201-0138
doc2180	AP891201-0139
doc2181	AP891201-0140
doc2182	AP891201-0141
doc2183	AP891201-0142
doc2184	AP891201-0143
doc2185	AP891201-0144
doc2186	AP891201-0145
doc2187	AP891201-0146
doc2188	AP891201-0147
doc2189	AP891201-0148
doc2190	AP891201-0149
doc2191	AP891201-0150
doc2192	AP891201-0151
doc2193	AP891201-0152
doc2194	AP891201-0153
doc2195	AP891201-0154
doc2196	AP891201-0155
doc2197	AP891201-0156
doc2198	AP891201-0157
doc2199	AP891201-0158
doc2200	AP891201-0159
doc2201	AP891201-0160
doc2202	AP891201-0161
doc2203	AP891201-0162
doc2204	AP891201-0163
doc2205	AP891201-0164
doc2206	AP891201-0165
doc2207	AP891201-0166
doc2208	AP891227-0001
doc2209	AP891227-0002
doc2210	AP891227-0003
doc2211	AP891227-0004
doc2212	AP891227-0005
doc2213	AP891227-0006
doc2214	AP891227-0007
doc2215	AP891227-0008
doc2216	AP891227-0009
doc2217	AP891227-0010
doc2218	AP891227-0011
doc2219	AP891227-0012
doc2220	AP891227-0013
doc2221	AP891227-0014
doc2222	AP891227-0015
doc2223	AP891227-0016
doc2224	AP891227-0017
doc2225	AP891227-0018
doc2226	AP891227-0019
doc2227	AP891227-0020
